bldg_id,County,ASHRAE IECC Climate Zone 2004,Occupants,Vintage,Bedrooms,Floor Area SqFt,Geometry Stories,Geometry Garage,Windows,Window Areas,Infiltration,Lighting,Insulation Foundation Wall,Insulation Wall,Insulation Ceiling,Insulation Roof,Insulation Floor,Insulation Rim Joist,HVAC Heating Fuel,HVAC Heating Efficiency,HVAC Cooling Efficiency,Usage Level,Roof Material,Cooling Setpoint,Heating Setpoint,Dishwasher,Cooking Range,Plug Loads,Clothes Dryer,Clothes Washer,Refrigerator,Water Heater Efficiency,Hot Water Fixtures
398871,G0600990,3B,2,1950s,4,2179,2,None,"Single, Clear, Non-metal, Exterior Clear Storm",F12 B12 L12 R12,20 ACH50,100% LED,None,"Wood Stud, Uninsulated",R-38,"Unfinished, Uninsulated",None,None,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 10",High,Composition Shingles,78F,68F,290 Rated kWh,Gas,94%,Gas,Standard,EF 17.6,Natural Gas Standard,200% Usage
224584,G0600990,3B,2,2000s,4,2678,2,None,"Double, Clear, Metal, Air",F18 B18 L18 R18,10 ACH50,100% CFL,None,"Wood Stud, R-19",None,"Finished, R-30",None,None,Natural Gas,"Fuel Furnace, 80% AFUE",None,Low,"Asphalt Shingles, Medium",76F,68F,318 Rated kWh,Gas,94%,Electric,Standard,EF 19.9,Natural Gas Premium,50% Usage
164810,G0600990,3B,3,2000s,4,3310,2,2 Car,"Double, Clear, Metal, Air",F30 B30 L30 R30,5 ACH50,100% LED,Uninsulated,"Wood Stud, R-11",None,"Finished, R-30",Ceiling R-19,Uninsulated,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Low,"Asphalt Shingles, Medium",75F,70F,290 Rated kWh,Gas,94%,Electric,Standard,EF 19.9,Natural Gas Standard,50% Usage
441350,G0600450,3C,1,1950s,3,3310,2,None,"Double, Clear, Non-metal, Air",F18 B18 L18 R18,25 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-49",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 76% AFUE",None,Low,"Asphalt Shingles, Medium",72F,68F,318 Rated kWh,Gas,94%,Gas,EnergyStar,EF 19.9,Natural Gas Standard,50% Usage
48762,G0600450,3C,5,1940s,4,1228,1,None,"Single, Clear, Non-metal",F15 B15 L15 R15,50 ACH50,100% Incandescent,Uninsulated,"Wood Stud, Uninsulated",R-7,"Unfinished, Uninsulated",Uninsulated,Uninsulated,Electricity,"Electric Baseboard, 100% Efficiency","Room AC, EER 10.7",Medium,Composition Shingles,65F,72F,290 Rated kWh,Electric Resistance,94%,Gas,Standard,EF 19.9,Natural Gas Premium,100% Usage
2190,G0600450,3C,3,1940s,3,1228,1,None,"Double, Low-E, Non-metal, Air, M-Gain",F12 B12 L12 R12,30 ACH50,100% LED,None,"Wood Stud, Uninsulated",R-19,"Unfinished, Uninsulated",None,None,Natural Gas,"Fuel Furnace, 92.5% AFUE",None,Medium,Composition Shingles,78F,65F,None,Gas,94%,None,None,EF 6.7,Natural Gas Standard,100% Usage
282578,G0600450,3C,1,1950s,3,1698,2,None,"Double, Clear, Non-metal, Air",F15 B15 L15 R15,25 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",Uninsulated,"Unfinished, Uninsulated",Uninsulated,Uninsulated,Electricity,"Electric Baseboard, 100% Efficiency",None,High,Composition Shingles,75F,65F,318 Rated kWh,Gas,94%,Gas,Standard,EF 19.9,Electric Standard,200% Usage
358331,G0600450,3C,2,1970s,3,1228,1,None,"Double, Clear, Metal, Air",F18 B18 L18 R18,15 ACH50,100% LED,None,"Wood Stud, Uninsulated",R-19,"Unfinished, Uninsulated",None,None,Electricity,"ASHP, SEER 13, 7.7 HSPF",Ducted Heat Pump,Low,"Asphalt Shingles, Medium",70F,68F,290 Rated kWh,Electric Resistance,94%,Gas,EnergyStar,EF 19.9,Natural Gas Standard,50% Usage
49524,G0600450,3C,2,1950s,5,1698,2,1 Car,"Double, Clear, Metal, Air",F6 B6 L6 R6,8 ACH50,100% CFL,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Electricity,"Electric Baseboard, 100% Efficiency","Room AC, EER 9.8",Low,"Asphalt Shingles, Medium",60F,72F,None,Gas,94%,Gas,Standard,EF 19.9,Natural Gas Standard,50% Usage
545347,G0600710,3B,2,2000s,4,3310,2,3 Car,"Double, Clear, Non-metal, Air",F6 B6 L6 R6,10 ACH50,100% Incandescent,None,"Wood Stud, R-19",R-19,"Unfinished, Uninsulated",None,None,Electricity,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Medium,"Tile, Clay or Ceramic",78F,68F,290 Rated kWh,Electric Resistance,94%,Gas,Standard,EF 19.9,Electric Premium,100% Usage
264025,G0600710,3B,1,2000s,4,2179,1,1 Car,"Double, Low-E, Non-metal, Air, M-Gain",F9 B9 L9 R9,6 ACH50,100% CFL,None,"Wood Stud, R-19",None,"Finished, R-19",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Low,"Asphalt Shingles, Medium",70F,68F,290 Rated kWh,Gas,94%,Gas,EnergyStar,EF 15.9,Natural Gas Tankless,50% Usage
231309,G0600710,3B,4,1990s,5,1698,2,2 Car,"Double, Clear, Metal, Air, Exterior Clear Storm",F12 B12 L12 R12,6 ACH50,100% LED,None,"Wood Stud, R-19",None,"Finished, R-13",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 8",High,Wood Shingles,76F,70F,290 Rated kWh,Gas,94%,Gas,EnergyStar,EF 17.6,Natural Gas Standard,200% Usage
307107,G0600710,3B,4,1990s,3,2179,1,2 Car,"Single, Clear, Metal",F12 B12 L12 R12,6 ACH50,100% LED,Uninsulated,"Wood Stud, R-11",None,"Finished, R-38",Ceiling R-19,Uninsulated,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",Low,"Asphalt Shingles, Medium",75F,72F,318 Rated kWh,Electric Resistance,94%,Electric,EnergyStar,EF 19.9,Natural Gas Standard,50% Usage
285692,G0600710,3B,5,1960s,3,1228,1,1 Car,"Double, Clear, Metal, Air",F15 B15 L15 R15,15 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 80% AFUE","Room AC, EER 10.7",Low,"Tile, Concrete",80F,70F,318 Rated kWh,Gas,94%,Electric,EnergyStar,EF 17.6,Natural Gas Standard,50% Usage
536640,G0600710,3B,1,1950s,3,1698,1,2 Car,"Double, Low-E, Non-metal, Air, M-Gain",F18 B18 L18 R18,7 ACH50,100% CFL,None,"Wood Stud, Uninsulated",None,"Finished, R-38",None,None,Natural Gas,"Fuel Furnace, 80% AFUE",None,Low,"Asphalt Shingles, Medium",72F,62F,318 Rated kWh,Gas,94%,Gas,Standard,EF 17.6,Natural Gas Premium,50% Usage
489812,G0600170,4B,4,2000s,4,1698,1,1 Car,"Double, Clear, Metal, Air, Exterior Clear Storm",F15 B15 L15 R15,15 ACH50,100% LED,None,"Wood Stud, R-11",None,"Finished, R-30",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",Low,"Tile, Clay or Ceramic",72F,70F,318 Rated kWh,Gas,94%,Gas,Standard,EF 17.6,Natural Gas Standard,50% Usage
270119,G0600170,4B,3,2000s,3,2678,2,2 Car,"Double, Low-E, Non-metal, Air, M-Gain",F9 B9 L9 R9,6 ACH50,100% LED,None,"Wood Stud, R-19",None,"Finished, R-30",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Medium,Composition Shingles,72F,75F,318 Rated kWh,Gas,94%,Electric,EnergyStar,EF 19.9,Natural Gas Premium,100% Usage
164193,G0600170,4B,2,1990s,2,1228,1,1 Car,"Double, Low-E, Non-metal, Air, M-Gain",F12 B12 L12 R12,8 ACH50,100% CFL,None,"Wood Stud, R-11",None,"Finished, R-30",None,None,Electricity,"ASHP, SEER 15, 8.5 HSPF",Ducted Heat Pump,Medium,"Asphalt Shingles, Medium",75F,68F,318 Rated kWh,Electric Induction,94%,None,None,EF 17.6,Natural Gas Standard,100% Usage
468331,G0600170,4B,2,1970s,3,1228,1,1 Car,"Double, Clear, Non-metal, Air",F9 B9 L9 R9,25 ACH50,100% Incandescent,None,"Wood Stud, Uninsulated",R-30,"Unfinished, Uninsulated",None,None,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 15",Medium,"Tile, Concrete",78F,75F,290 Rated kWh,Electric Resistance,94%,Gas,EnergyStar,EF 19.9,Natural Gas Premium,100% Usage
244326,G0600170,4B,1,1960s,4,1228,1,None,"Double, Clear, Non-metal, Air, Exterior Clear Storm",F9 B9 L9 R9,20 ACH50,100% CFL,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 15",Medium,"Asphalt Shingles, Medium",70F,68F,290 Rated kWh,Gas,94%,Electric,Standard,EF 19.9,Natural Gas Standard,100% Usage
226753,G0600170,4B,2,1970s,2,1228,1,1 Car,"Single, Clear, Non-metal",F30 B30 L30 R30,20 ACH50,100% CFL,None,"Wood Stud, Uninsulated",None,"Finished, R-38",None,None,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",Low,"Tile, Concrete",70F,75F,None,Electric Resistance,94%,Electric,Standard,EF 21.9,Natural Gas Premium,50% Usage
41112,G0600070,3B,2,1970s,3,1228,1,1 Car,"Double, Clear, Non-metal, Air, Exterior Clear Storm",F12 B12 L12 R12,15 ACH50,100% CFL,None,"Wood Stud, R-7",None,"Finished, R-30",None,None,Electricity,"Electric Baseboard, 100% Efficiency",None,High,"Asphalt Shingles, Medium",68F,68F,290 Rated kWh,Electric Resistance,94%,Electric,Standard,EF 15.9,Natural Gas Standard,200% Usage
511214,G0600070,3B,1,1970s,1,634,1,None,"Double, Clear, Metal, Air",F9 B9 L9 R9,10 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",R-19,"Unfinished, Uninsulated",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 92.5% AFUE",None,Low,Composition Shingles,68F,70F,None,Electric Resistance,94%,Gas,EnergyStar,EF 6.7,Natural Gas Standard,50% Usage
408376,G0600070,3B,1,1950s,2,1698,1,2 Car,"Double, Clear, Metal, Air",F18 B18 L18 R18,15 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-19",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",High,"Tile, Clay or Ceramic",75F,70F,None,Gas,94%,Electric,Standard,EF 19.9,Natural Gas Premium,200% Usage
227002,G0600070,3B,1,1940s,2,1228,1,None,"Double, Low-E, Non-metal, Air, M-Gain",F12 B12 L12 R12,10 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",R-30,"Unfinished, Uninsulated",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Low,Composition Shingles,72F,65F,318 Rated kWh,Gas,94%,Electric,EnergyStar,EF 17.6,Natural Gas Standard,50% Usage
502705,G0600070,3B,1,1950s,3,1228,1,None,"Double, Low-E, Non-metal, Air, M-Gain",F9 B9 L9 R9,6 ACH50,100% CFL,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-38",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 92.5% AFUE",None,Low,Composition Shingles,78F,68F,318 Rated kWh,Electric Resistance,94%,Gas,EnergyStar,EF 17.6,Natural Gas Standard,50% Usage
542980,G0600070,3B,2,1990s,3,2678,1,2 Car,"Double, Clear, Metal, Air",F12 B12 L12 R12,15 ACH50,100% CFL,None,"Wood Stud, R-19",None,"Finished, R-30",None,None,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",Medium,Composition Shingles,75F,76F,318 Rated kWh,Gas,94%,Electric,EnergyStar,EF 19.9,Natural Gas Premium,100% Usage
215979,G0600730,3B,2,2000s,4,2179,1,None,"Double, Low-E, Non-metal, Air, M-Gain",F18 B18 L18 R18,3 ACH50,100% CFL,None,"Wood Stud, R-19",R-30,"Unfinished, Uninsulated",None,None,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",High,"Tile, Clay or Ceramic",75F,68F,None,Electric Resistance,94%,Gas,EnergyStar,EF 19.9,Electric Standard,200% Usage
342318,G0600730,3B,5,1950s,3,1228,1,1 Car,"Single, Clear, Non-metal",F9 B9 L9 R9,8 ACH50,100% LED,None,"Wood Stud, Uninsulated",None,"Finished, R-19",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Low,"Metal, Dark",72F,68F,None,Electric Resistance,94%,Electric,Standard,None,Natural Gas Standard,50% Usage
431588,G0600730,3B,3,1980s,5,2179,1,None,"Single, Clear, Non-metal",F12 B12 L12 R12,6 ACH50,100% CFL,None,"Wood Stud, R-11",R-19,"Unfinished, Uninsulated",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Low,"Asphalt Shingles, Medium",70F,65F,318 Rated kWh,Gas,94%,Gas,Standard,EF 19.9,Electric Premium,50% Usage
496943,G0600730,3B,4,1970s,3,2678,1,2 Car,"Double, Clear, Metal, Air",F18 B18 L18 R18,6 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",Medium,"Asphalt Shingles, Medium",78F,68F,318 Rated kWh,Electric Resistance,94%,Electric,Standard,EF 19.9,Electric Standard,100% Usage
169557,G0600730,3B,4,1960s,4,2678,2,2 Car,"Single, Clear, Metal",F12 B12 L12 R12,20 ACH50,100% CFL,None,"Wood Stud, Uninsulated",None,"Finished, R-30",None,None,Natural Gas,"Fuel Furnace, 76% AFUE","AC, SEER 13",Medium,Composition Shingles,78F,65F,318 Rated kWh,Electric Resistance,94%,Electric,Standard,EF 19.9,Natural Gas Premium,100% Usage
426301,G0600730,3B,4,1960s,5,3310,1,1 Car,"Single, Clear, Non-metal",F9 B9 L9 R9,10 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Low,"Tile, Concrete",78F,76F,290 Rated kWh,Electric Resistance,94%,Gas,EnergyStar,EF 17.6,Natural Gas Premium,50% Usage
122883,G0600390,3B,2,1970s,3,1698,2,2 Car,"Double, Clear, Metal, Air",F9 B9 L9 R9,15 ACH50,100% Incandescent,None,"Wood Stud, R-7",None,"Finished, R-38",None,None,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",Medium,Wood Shingles,68F,70F,290 Rated kWh,Electric Resistance,94%,Gas,EnergyStar,EF 19.9,Electric Premium,100% Usage
244536,G0600390,3B,3,1990s,3,3310,2,3 Car,"Double, Clear, Metal, Air",F12 B12 L12 R12,7 ACH50,100% Incandescent,Uninsulated,"Wood Stud, R-19",R-19,"Unfinished, Uninsulated",Ceiling R-19,Uninsulated,Natural Gas,"Fuel Wall/Floor Furnace, 68% AFUE","Room AC, EER 12.0",Medium,"Metal, Dark",70F,70F,290 Rated kWh,Electric Resistance,94%,None,Standard,EF 17.6,Electric Premium,100% Usage
181544,G0600390,3B,7,1990s,4,2678,2,None,"Double, Clear, Metal, Air",F9 B9 L9 R9,7 ACH50,100% LED,None,"Wood Stud, R-11",None,"Finished, R-49",None,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",High,Composition Shingles,75F,67F,318 Rated kWh,Gas,94%,Electric,Standard,EF 15.9,Natural Gas Standard,200% Usage
125084,G0600390,3B,1,1970s,3,1228,1,None,"Single, Clear, Metal",F15 B15 L15 R15,10 ACH50,100% CFL,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 8",Medium,Composition Shingles,76F,70F,318 Rated kWh,Electric Resistance,94%,Electric,Standard,EF 19.9,Natural Gas Premium,100% Usage
259459,G0600390,3B,4,2010s,3,2179,1,None,"Double, Low-E, Non-metal, Air, M-Gain",F15 B15 L15 R15,15 ACH50,100% CFL,None,"Wood Stud, R-11",None,"Finished, R-19",None,None,Natural Gas,"Fuel Furnace, 92.5% AFUE",None,Medium,Composition Shingles,80F,70F,318 Rated kWh,Gas,94%,Electric,Standard,EF 19.9,Natural Gas Standard,100% Usage
449169,G0600390,3B,2,1960s,2,881,1,1 Car,"Double, Clear, Metal, Air",F9 B9 L9 R9,15 ACH50,100% LED,None,"Wood Stud, Uninsulated",None,"Finished, R-13",None,None,Electricity,"MSHP, SEER 14.5, 8.2 HSPF",Non-Ducted Heat Pump,Low,Composition Shingles,72F,72F,290 Rated kWh,Electric Resistance,94%,Gas,EnergyStar,EF 17.6,Natural Gas Premium,50% Usage
433279,G0600690,3C,1,1950s,2,881,1,None,"Double, Clear, Metal, Air",F12 B12 L12 R12,30 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-7",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",Medium,Composition Shingles,80F,68F,None,Gas,94%,Electric,Standard,EF 15.9,Natural Gas Standard,100% Usage
122535,G0600690,3C,3,1940s,3,1698,2,1 Car,"Double, Clear, Non-metal, Air",F18 B18 L18 R18,10 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-38",Uninsulated,Uninsulated,Natural Gas,"Fuel Wall/Floor Furnace, 60% AFUE","AC, SEER 13",High,Composition Shingles,60F,68F,318 Rated kWh,Gas,94%,Electric,EnergyStar,EF 17.6,Natural Gas Standard,200% Usage
72187,G0600690,3C,2,1980s,4,2678,2,2 Car,"Double, Clear, Non-metal, Air",F18 B18 L18 R18,10 ACH50,100% Incandescent,None,"Wood Stud, R-11",None,"Finished, R-30",None,None,Natural Gas,"Fuel Furnace, 76% AFUE",None,High,Composition Shingles,65F,65F,318 Rated kWh,Gas,94%,Gas,Standard,EF 17.6,Natural Gas Tankless,200% Usage
220118,G0600690,3C,1,<1940,3,1228,1,None,"Double, Low-E, Non-metal, Air, M-Gain",F15 B15 L15 R15,10 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Electricity,"Electric Baseboard, 100% Efficiency",None,High,"Asphalt Shingles, Medium",75F,65F,290 Rated kWh,Gas,94%,Gas,EnergyStar,EF 19.9,Natural Gas Standard,200% Usage
316297,G0600690,3C,2,1980s,4,2678,2,2 Car,"Double, Clear, Metal, Air",F18 B18 L18 R18,8 ACH50,100% Incandescent,None,"Wood Stud, R-11",R-19,"Unfinished, Uninsulated",None,None,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",Medium,"Tile, Clay or Ceramic",68F,68F,290 Rated kWh,Electric Resistance,94%,Gas,Standard,EF 19.9,Natural Gas Standard,100% Usage
292206,G0600690,3C,2,2000s,2,2179,1,None,"Double, Low-E, Non-metal, Air, M-Gain",F6 B6 L6 R6,20 ACH50,100% Incandescent,None,"Wood Stud, R-19",None,"Finished, R-38",Ceiling R-19,None,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 15",Medium,"Tile, Clay or Ceramic",72F,75F,None,Gas,94%,Electric,Standard,EF 19.9,Natural Gas Standard,100% Usage
357326,G0600270,4B,2,1950s,3,1698,2,None,"Double, Low-E, Non-metal, Air, M-Gain",F18 B18 L18 R18,20 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",None,"Finished, R-30",Uninsulated,Uninsulated,Electricity,"Electric Furnace, 100% AFUE",None,Low,"Tile, Clay or Ceramic",72F,70F,290 Rated kWh,Gas,94%,Electric,Standard,EF 17.6,Propane Premium,50% Usage
496725,G0600270,4B,1,1960s,2,1228,1,None,"Double, Clear, Non-metal, Air",F15 B15 L15 R15,7 ACH50,100% CFL,None,"Wood Stud, Uninsulated",None,"Finished, R-38",Uninsulated,None,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Low,Composition Shingles,75F,70F,318 Rated kWh,Gas,94%,Gas,EnergyStar,EF 19.9,Natural Gas Standard,50% Usage
208427,G0600270,4B,1,1960s,3,881,1,None,"Single, Clear, Metal, Exterior Clear Storm",F12 B12 L12 R12,20 ACH50,100% LED,Uninsulated,"Wood Stud, Uninsulated",R-19,"Unfinished, Uninsulated",Uninsulated,Uninsulated,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",Medium,"Tile, Clay or Ceramic",78F,76F,290 Rated kWh,Gas,94%,Gas,Standard,EF 15.9,Natural Gas Standard,100% Usage
